城市,日期,AQI指数,空气质量级别
上海市,2016-10-22,29,优
上海市,2016-10-23,48,优
上海市,2016-10-24,47,优
上海市,2016-10-25,62,良
上海市,2016-10-26,70,良
上海市,2016-10-27,54,良
上海市,2016-10-28,47,优
上海市,2016-10-29,37,优
上海市,2016-10-30,39,优
上海市,2016-10-31,49,优
上海市,2016-11-01,42,优
上海市,2016-11-02,78,良
上海市,2016-11-03,104,轻度污染
上海市,2016-11-04,101,轻度污染
上海市,2016-11-05,101,轻度污染
上海市,2016-11-06,89,良
上海市,2016-11-07,65,良
上海市,2016-11-08,41,优
上海市,2016-11-09,37,优
上海市,2016-11-10,75,良
上海市,2016-11-11,83,良
上海市,2016-11-12,69,良
上海市,2016-11-13,85,良
上海市,2016-11-14,113,轻度污染
上海市,2016-11-15,60,良
上海市,2016-11-16,69,良
上海市,2016-11-17,73,良
上海市,2016-11-18,88,良
上海市,2016-11-19,144,轻度污染
上海市,2016-11-20,58,良
上海市,2016-11-21,68,良
上海市,2016-11-22,38,优
上海市,2016-11-23,47,优
上海市,2016-11-24,67,良
上海市,2016-11-25,82,良
上海市,2016-11-26,73,良
上海市,2016-11-27,128,轻度污染
上海市,2016-11-28,80,良
上海市,2016-11-29,83,良
上海市,2016-11-30,104,轻度污染
上海市,2016-12-01,128,轻度污染
上海市,2016-12-02,73,良
上海市,2016-12-03,75,良
上海市,2016-12-04,106,轻度污染
上海市,2016-12-05,159,中度污染
上海市,2016-12-06,64,良
上海市,2016-12-07,128,轻度污染
上海市,2016-12-08,169,中度污染
上海市,2016-12-09,115,轻度污染
上海市,2016-12-10,45,优
上海市,2016-12-11,44,优
上海市,2016-12-12,87,良
上海市,2016-12-14,38,优
上海市,2016-12-15,84,良
上海市,2016-12-16,185,中度污染
上海市,2016-12-17,142,轻度污染
上海市,2016-12-18,101,轻度污染
上海市,2016-12-19,107,轻度污染
上海市,2016-12-20,69,良
上海市,2016-12-21,70,良
上海市,2016-12-22,118,轻度污染
上海市,2016-12-23,175,中度污染
上海市,2016-12-24,52,良
上海市,2016-12-25,65,良
上海市,2016-12-26,69,良
上海市,2016-12-27,42,优
上海市,2016-12-28,65,良
上海市,2016-12-29,84,良
上海市,2016-12-30,97,良
上海市,2016-12-31,104,轻度污染
上海市,2017-01-01,82,良
上海市,2017-01-02,92,良
上海市,2017-01-03,127,轻度污染
上海市,2017-01-04,90,良
上海市,2017-01-05,55,良
上海市,2017-01-06,63,良
上海市,2017-01-07,63,良
上海市,2017-01-08,94,良
上海市,2017-01-09,87,良
上海市,2017-01-10,107,轻度污染
上海市,2017-01-11,52,良
上海市,2017-01-12,93,良
上海市,2017-01-13,130,轻度污染
上海市,2017-01-14,39,优
上海市,2017-01-15,35,优
上海市,2017-01-16,53,良
上海市,2017-01-17,90,良
上海市,2017-01-18,65,良
上海市,2017-01-19,105,轻度污染
上海市,2017-01-20,90,良
上海市,2017-01-21,73,良
上海市,2017-01-22,65,良
上海市,2017-01-23,44,优
上海市,2017-01-24,52,良
上海市,2017-01-25,75,良
上海市,2017-01-26,73,良
上海市,2017-01-27,65,良
上海市,2017-01-28,62,良
上海市,2017-01-29,78,良
上海市,2017-01-30,42,优
上海市,2017-01-31,42,优
上海市,2017-02-01,45,优
上海市,2017-02-02,44,优
上海市,2017-02-03,57,良
上海市,2017-02-04,79,良
上海市,2017-02-05,152,中度污染
上海市,2017-02-06,89,良
上海市,2017-02-07,45,优
上海市,2017-02-08,38,优
上海市,2017-02-09,97,良
上海市,2017-02-10,57,良
上海市,2017-02-11,74,良
